路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/案例编辑器增强/表头映射/表头双行与悬浮提示,表头显示中文名并其下显示英文 key,表头有映射时第一行显示中文名、其下显示英文 key；悬浮表头提示「中文（英文 key）」；无映射时仅显示英文 key。,"步骤1:
打开已配置中文映射的案例文件，观察表头形态
步骤2:
将鼠标悬停在某列表头，查看悬浮提示
步骤3:
查看未配置映射的列表头","【业务功能检查】
- 已映射列表头首行中文名、次行英文 key
- 悬浮提示为「中文（英文 key）」格式
- 未映射列仅显示英文 key，不影响功能",中
合并测试阶段/案例编辑器增强/表头映射/弹窗字段中文辅助展示,弹窗字段名以中文为主英文 key 为辅,在明细弹窗内，字段名有映射时显示「中文（主）+ 英文 key（辅）」，无映射时仅显示英文 key。,"步骤1:
打开某明细弹窗，查看字段名展示形态
步骤2:
核对已映射字段与未映射字段的显示差异","【业务功能检查】
- 已映射字段显示中文名为主、英文 key 为辅
- 未映射字段仅显示英文 key
- 字段定位与保存不受展示名影响",中
合并测试阶段/案例编辑器增强/表头映射/新字段配置即获中文,新增字段无需改代码即经配置获中文,对文件中新增的英文字段（代码未预置中文名），仅通过配置（映射文件 / 设置）即可获得中文展示，无需改动代码。,"步骤1:
在案例文件新增一个未预置中文名的英文字段列
步骤2:
通过映射文件或设置界面为该字段配置中文名
步骤3:
刷新文件查看表头","【业务功能检查】
- 无需改代码，仅配置即可让新字段显示中文名
- 表头合并规则与既有字段一致（多层级优先级生效）
- 底层通信仍以英文 key 为准",中
合并测试阶段/yaml解析增强-推送保留原文/保留原始形态/仅改被编辑行不动其余,YAML 推送后仅被编辑字段更新，其余内容原样保留,推送 / 保存 YAML 案例时，系统以 testcase_id 为主键将当前编辑行与原始记录逐行对齐，仅替换被改动的字段值，未改动的字段沿用原始记录，不整体重写文件。,"步骤1:
新建一个含多行案例的 YAML 文件，其中部分行（如第 3 行）的预期结果字段填有内容、并带文件头注释与行间注释
步骤2:
仅将第 5 行的「优先级」字段改为「高」，其余行不改动
步骤3:
执行推送或保存文件，并用文本编辑器重新打开该 YAML 文件比对","【业务功能检查】
- 仅第 5 行的优先级字段被更新为「高」
- 第 3 行原有预期结果、文件头注释、行间注释均完整保留，未被清空或重写
- 文件整体排版（缩进、空行）与被编辑前一致，未发生整篇重排",高
合并测试阶段/yaml解析增强-推送保留原文/保留原始形态/新插入行不继承相邻行数据,新增行无法匹配主键时明细字段回退空结构,对于新增且无法在原始数据中匹配到 testcase_id 的行，其明细字段（对象 / 对象数组）回退为空结构，而非错误继承相邻原始行的数据。,"步骤1:
在 YAML 案例文件中插入一行新案例，暂不填 testcase_id（或填一个全新的、文件中不存在的 id）
步骤2:
在该新行的步骤对象列填入部分数据，保存文件
步骤3:
重新打开文件，检查新行数据与相邻旧行是否相互独立","【业务功能检查】
- 新插入行的明细字段（如 steps）为独立的空对象 / 空数组起步，不显示为相邻旧行的数据副本
- 相邻旧行的对象 / 数组数据保持不变
- 不存在「新行刷新后被相邻行覆盖」的错位现象",高
合并测试阶段/yaml解析增强-推送保留原文/保留原始形态/顶层形态维持,原文件顶层数组-单对象结构推送后保持一致,原文件顶层是数组（多条）则回写仍为数组；原文件是单个对象（单条）则维持单对象；系统识别并保留该形态，不擅自在数组与单对象间转换。,"步骤1:
准备两份文件：一份顶层为案例对象数组（多条），一份顶层为单个案例对象（单条）
步骤2:
分别编辑其中一行并推送 / 保存
步骤3:
用文本编辑器查看两份文件顶层结构","【业务功能检查】
- 数组文件推送后仍是最外层数组，条目数量与顺序正确
- 单对象文件推送后仍是最外层单个对象，未变成数组
- 不发生数组与单对象之间的错误转换",高
合并测试阶段/yaml解析增强-推送保留原文/保留原始形态/多行文本块标量保留,字段含多行文本以块标量输出不被转义,字段值中的换行（如步骤描述、SQL）以 YAML 块标量（|- 字面量）形式输出，避免把换行写成转义字符破坏可读性；原文件使用的块标量语义在可识别范围内予以保留。,"步骤1:
在 YAML 案例某字段填入含多行换行的值（如 steps 中某步骤的描述跨多行、含 SQL 语句）
步骤2:
保存 / 推送后重新打开文件
步骤3:
检查该字段在文件中的存储形态","【业务功能检查】
- 多行内容以块标量（|-）形式保留，换行清晰可读
- 换行未被写成 \n 字面转义字符
- 重新打开后多行文本完整无丢失",高
合并测试阶段/yaml解析增强-推送保留原文/保留原始形态/注释保护,保存仅重写数据行不清除注释,保存 / 推送仅重写被编辑的数据行，不重写整文件，从而不清除文件头部说明注释、行间注释等原有内容。,"步骤1:
在 YAML 文件顶部写一段说明注释，并在若干数据行之间插入行间注释
步骤2:
仅修改某一行的单个字段并保存
步骤3:
重新打开文件查看注释是否留存","【业务功能检查】
- 文件顶部说明注释完整保留
- 行间注释未被删除或移位
- 仅被编辑数据行发生变化",中
合并测试阶段/yaml解析增强-推送保留原文/保留原始形态/插入删除排序后对齐,插入-删除-排序后主键正确对齐不串数据,在插入、删除或调整行顺序后推送，各行以 testcase_id 为主键正确对应原始记录，不出现「相邻行数据错位覆盖」。,"步骤1:
对 YAML 案例文件做三种操作之一：在中间插入新行、删除某行、将两行上下调换
步骤2:
编辑其中一行并保存 / 推送
步骤3:
重新打开确认每一行的字段归属正确","【业务功能检查】
- 经过插入 / 删除 / 排序后，各行的字段仍正确归属到对应 testcase_id
- 不出现某行数据被误写到另一行（错位覆盖）
- 删除行的数据不残留在其它行",高
合并测试阶段/yaml解析增强-推送保留原文/安全降级/严重错误切换文本编辑器,语法严重错误无法解析时切换文本编辑器并定位首错行,用户打开 YAML 案例文件时，系统在编辑器标签页出现的瞬间同步预检内容；一旦检测到致命语法错误，立即关闭案例编辑器标签页、改用普通文本编辑器打开，光标定位到首条错误行。,"步骤1:
准备一个语法严重错误（如缩进错乱导致无法解析为表结构）的 YAML 文件
步骤2:
从资源管理器双击打开该文件
步骤3:
观察打开后的编辑器形态与光标位置","【业务功能检查】
- 未展示空表 / 数据丢失的过渡页，直接以文本编辑器打开
- 光标自动定位到首条语法错误所在行
- 弹窗提示错误数量，并提供修复 / 查看问题面板入口",高
合并测试阶段/yaml解析增强-推送保留原文/安全降级/错误行号一致,提示行号与问题面板数据源一致,切换文本编辑器后，提示框与光标定位使用的错误行号，必须与问题面板（Problems）中展示的行号来自同一份校验结果，确保用户点击可对齐。,"步骤1:
打开一个含多处语法错误的 YAML 文件
步骤2:
记录弹窗提示的「首条错误行号」
步骤3:
打开问题面板（Problems）查看同一文件的错误列表","【业务功能检查】
- 弹窗提示的首条错误行号与问题面板首条错误行号一致
- 两者指向同一物理行，无偏移",中
合并测试阶段/yaml解析增强-推送保留原文/安全降级/双保险兜底,预检未拦截时兜底仍切换文本编辑器,除「打开即预检」路径外，若因时序等原因未能拦截，编辑器内部仍有兜底逻辑在解析失败时静默切换到文本编辑器（不重复弹提示、不重复拉光标）。,"步骤1:
模拟预检路径未生效的时序场景（如通过命令直接以案例编辑器视图类型打开一个错误文件）
步骤2:
观察最终结果是否仍停留在空表","【业务功能检查】
- 用户最终不会停留在空表 / 数据丢失状态
- 兜底路径不重复弹 Toast、不重复拉光标（与预检路径不冲突）",中
合并测试阶段/yaml解析增强-推送保留原文/安全降级/校验器异常安全降级,校验器自身异常时仍安全降级,即使语法校验器自身异常，也按「安全降级」处理——直接以文本编辑器打开并提示用户手动检查，而非展示崩溃态。,"步骤1:
构造使校验器抛出异常的场景（如文件极大或编码异常）
步骤2:
打开该文件","【业务功能检查】
- 文件以文本编辑器打开并提示用户手动检查
- 不展示崩溃 / 报错白屏
- 不阻断用户对文件的访问",中
合并测试阶段/yaml解析增强-推送保留原文/保留原始形态/格式合法文件不误切换,语法正确文件正常以案例编辑器打开,当 YAML 文件无致命语法错误（可解析为表结构）时，不触发切换，正常以案例编辑器打开并提供表格编辑能力。,"步骤1:
准备一个语法正确、结构规范的 YAML 案例文件
步骤2:
从资源管理器双击打开","【业务功能检查】
- 文件以案例编辑器（表格视图）正常打开
- 不误切换为文本编辑器
- 表格数据正确加载，可正常编辑与推送",高
合并测试阶段/子任务文件夹名取消限制/任意名称/中文名作子任务,子任务文件夹使用纯中文名仍被识别,位于「测试任务」下一级的文件夹，无论名称是中文、英文、数字或混合，均被视为合法子任务；其下「测试案例」目录中的文件可正常识别、打开与推送。旧规要求 <编号>_<名称> 格式已移除。,"步骤1:
在「测试任务」下新建文件夹，命名为纯中文（如「登录模块」）
步骤2:
在该文件夹内新建「测试案例」目录并放入一个 YAML 案例文件
步骤3:
打开并推送该文件","【业务功能检查】
- 文件正常以案例编辑器打开，无格式报错
- 推送成功，不提示「目录格式不正确」
- 与旧格式文件夹体验一致",高
合并测试阶段/子任务文件夹名取消限制/任意名称/英文或编号名作子任务,子任务文件夹使用英文-单号名仍被识别,子任务文件夹可为 Jira 单号、英文代号等业务习惯名称，系统不要求含中文或特定前缀。,"步骤1:
在「测试任务」下新建文件夹，命名为英文代号（如 PROJ-123 或 regression_v2）
步骤2:
其下建「测试案例」目录并放入案例文件
步骤3:
打开并推送","【业务功能检查】
- 文件被正常识别为案例文件
- 推送 / 绑定等能力正常可用
- 不要求名称含下划线或编号前缀",高
合并测试阶段/子任务文件夹名取消限制/任意名称/含空格分隔符,子任务文件夹名含空格-特殊分隔符仍被识别,子任务文件夹名可包含空格、连字符、点号等分隔符，不影响识别。,"步骤1:
在「测试任务」下新建文件夹，命名为含空格与连字符（如「回归测试 - 一期」）
步骤2:
其下建「测试案例」目录并放入案例文件
步骤3:
打开并推送","【业务功能检查】
- 含空格 / 连字符的文件夹名被正确识别
- 文件正常打开与推送
- 路径解析不因特殊字符出错",中
合并测试阶段/子任务文件夹名取消限制/层级保留/测试任务测试案例两级固定,仍要求测试任务与测试案例两级固定名,放开的是中间子任务文件夹名；路径中必须存在名为「测试任务」的祖先目录，其下一级为子任务文件夹，再下一级必须为名为「测试案例」的目录，三者层级与名称缺一不可。,"步骤1:
构造路径：某目录/测试任务/子任务A/测试案例/case.yaml，打开推送
步骤2:
构造路径：某目录/子任务A/测试案例/case.yaml（缺「测试任务」根），尝试推送
步骤3:
构造路径：某目录/测试任务/子任务A/case.yaml（缺「测试案例」层），尝试推送","【业务功能检查】
- 步骤1 正常识别并推送
- 步骤2 判定不合格，提示缺少「测试任务」层级
- 步骤3 判定不合格，提示缺少「测试案例」层级",高
合并测试阶段/子任务文件夹名取消限制/层级保留/动态定位测试任务根,测试任务目录位置不限固定倒数层级,系统从路径中动态查找「测试任务」所在位置（不限定固定倒数层级），只要向上能找到该目录并满足层级链即判定合格。,"步骤1:
在较深路径中嵌套：a/b/c/测试任务/子任务X/测试案例/case.yaml，打开推送
步骤2:
在较浅路径：测试任务/子任务Y/测试案例/case.yaml，打开推送","【业务功能检查】
- 两种深度的路径均被正确识别
- 系统动态定位「测试任务」根，不依赖固定层级位置",中
合并测试阶段/子任务文件夹名取消限制/子目录嵌套/测试案例下任意深度,案例在测试案例子目录深层仍被识别,案例文件可直接放在「测试案例/」根下，也可放在其任意深度子文件夹中，均被识别为合法案例文件。,"步骤1:
在「测试案例」根下放一个案例文件，打开推送
步骤2:
在「测试案例/模块A/场景B/」深层放一个案例文件，打开推送","【业务功能检查】
- 根目录案例被识别
- 深层子目录案例同样被识别并可推送
- 不限制子目录深度",高
合并测试阶段/子任务文件夹名取消限制/识别失败/推送明确路径提示,不在合格目录时推送给出明确路径提示,从资源管理器或编辑器发起推送时，系统先校验是否在合格目录下；不在时给出明确提示，说明应放置于「测试任务 / <子任务文件夹> / 测试案例 /」结构，并展示当前路径。,"步骤1:
将一个案例文件放在「测试任务」之外（如桌面或项目根）
步骤2:
右键该文件执行推送","【业务功能检查】
- 推送被拦截，不发起后端调用
- 弹窗提示「文件不在合规目录下（测试任务/<子任务文件夹>/测试案例/）」
- 提示中展示当前文件路径，便于用户自查",高
合并测试阶段/子任务文件夹名取消限制/识别失败/绑定提示目录结构,绑定操作不在子任务结构下时提示,执行案例与要点绑定等关联操作时，若当前文件不在「测试任务 / <子任务文件夹> /」结构下，提示用户「当前文件不在测试任务子任务目录结构下」，引导移动到正确位置。,"步骤1:
将案例文件放在非子任务结构路径下
步骤2:
对该文件执行 point ↔ case 绑定操作","【业务功能检查】
- 绑定被阻止
- 提示「当前文件不在测试任务子任务目录结构下」
- 不继续执行绑定流程",中
合并测试阶段/子任务文件夹名取消限制/新建约束/仅在测试案例内新建,新建案例仅允许在测试案例目录或其子文件夹,在资源管理器中新建测试案例时，仅允许在「测试案例」目录或其子文件夹内创建，避免生成游离文件；该约束与子任务文件夹名无关。,"步骤1:
在「测试任务/子任务/测试案例/」内右键新建测试案例
步骤2:
在「测试任务/子任务/」（非测试案例层）右键尝试新建测试案例","【业务功能检查】
- 步骤1 允许创建并正常生成文件
- 步骤2 提示「只能在测试案例目录或其子文件夹中创建新测试案例」
- 子任务文件夹名本身不影响新建权限",中
合并测试阶段/子任务文件夹名取消限制/存量兼容/旧格式目录无需重命名,历史不符合旧格式目录可直接复用,历史项目中不符合旧 <编号>_<名称> 格式的目录，无需重命名即可直接作为子任务容器使用，其下案例文件正常识别。,"步骤1:
打开一个历史项目，其子任务文件夹名为旧习惯（无编号前缀，如「旧需求验证」）
步骤2:
直接打开其下「测试案例」中的文件并推送","【业务功能检查】
- 旧命名目录被正常识别为子任务
- 无需重命名即可编辑与推送
- 与符合旧格式的目录行为一致",高
