路径,测试名称,描述,步骤描述,预期结果,优先级
合并测试阶段/绑定和关联/关联/中文CSV兼容/仅类型2,中文 无 parent_id 时只能命中 type=2（路径兜底）,对 仅列中文别名兜底；中文模板通常无，因此只能走 path 兜底，这是数据模型天花板（非缺陷）,步骤1: 准备无父点编号列的中文 步骤2: 与要点按 path 匹配。,【业务功能检查】 - 命中均为 type=2 - type1/type3 为 0 - 行为符合「中文 天花板」说明,中
合并测试阶段/绑定和关联/关联/中文CSV兼容/无中文短路,表头无中文时保持默认英文字段名,首行完全没有中文字符 → 直接返回 undefined，保持 /path/ /name 默认。,步骤1: 准备英文表头 步骤2: 调用匹配。,【业务功能检查】 - 不注入中文映射 - 按英文字段名正常匹配,中
合并测试阶段/绑定和关联/关联/中文CSV兼容/非csv不探测,非 .csv 文件（yaml 或 json）不做中文表头探测,非 / $/i 直接返回 undefined；yaml/json 由用户按约定使用英文字段。,步骤1: 准备英文/中文混合的 yaml 案例 步骤2: 调用匹配。,【业务功能检查】 - 不触发中文探测逻辑 - 按 yaml 约定字段匹配,中
合并测试阶段/绑定和关联/关联/中文CSV兼容/预期成品,中文 的「预期结果」列作为成品文本按行输出,退化分支：无 steps 时，（预期结果）按行原样输出（每行 <p> 包裹），不再按 / / 拆分。,步骤1: 中文 「预期结果」列含【UI检查】等成品标签 步骤2: 匹配后查看。,【业务功能检查】 - 的【预期结果】直接包含原成品文本 - 每行 <p> 包裹 - 不重复拆分标签,中
合并测试阶段/绑定和关联/关联/诊断命令/取激活tab,诊断命令取当前激活 tab 的测试要点文件,优先 . （file 协议）；为空时从 . . 兜底（覆盖 xmind 自定义编辑器）；最后遍历所有 tab 找最近的。,步骤1: 打开 要点 并激活 步骤2: 命令面板执行「关联匹配诊断」 步骤3: 观察输出。,【业务功能检查】 - 命令取到当前 要点 - Output Channel 输出 [ -Linker] 诊断信息 -,高
合并测试阶段/绑定和关联/关联/诊断命令/xmind兜底,xmind 由自定义编辑器打开时从 tabGroups 兜底取路径,xmind 自定义编辑器下 为空，走 兜底且过滤 scheme=file。,步骤1: 用自定义编辑器打开 要点 并激活 步骤2: 执行诊断命令。,【业务功能检查】 - 仍正确取到 xmind 路径 - 不被 output/terminal 虚拟 tab 干扰,高
合并测试阶段/绑定和关联/关联/诊断命令/非要点拦截,当前激活文件非 .md 或 .xmind 时警告并退出,非 → 警告「当前激活文件不是测试要点」并不输出诊断。,步骤1: 激活一个 文件 步骤2: 执行诊断命令。,【业务功能检查】 - 弹 warning 提示非测试要点 - 不执行匹配 - 埋点/提示正常,中
合并测试阶段/绑定和关联/关联/诊断命令/目录校验,要点文件不在「测试任务<任务>测试大纲」下时警告,按目录结构规则校验路径；不匹配 → 警告「当前激活的测试要点文件不在 测试任务/<任务名>/测试大纲/ 下」。,步骤1: 在测试任务外放置一个 并激活 步骤2: 执行诊断命令。,【业务功能检查】 - 弹 warning 指出目录不符 - 不执行匹配,中
合并测试阶段/绑定和关联/关联/诊断命令/未打开文件,未打开任何测试要点时提示先打开文件,多层兜底均取不到 → 警告「请先在编辑器中打开一个测试要点 / 文件」。,步骤1: 关闭所有编辑器后执行诊断命令 步骤2: 观察提示。,【业务功能检查】 - 提示先打开测试要点 - 不报错崩溃,中
合并测试阶段/绑定和关联/关联/诊断命令/未绑定提示,要点已解析但未被任何案例绑定时提示去绑定,返回 null → 「当前测试要点尚未绑定测试案例，请选择文件右键绑定后再试」。,步骤1: 打开已解析出测试点的 要点 （未绑定） 步骤2: 执行诊断命令。,【业务功能检查】 - 提示去绑定 - total=0、data={},高
合并测试阶段/绑定和关联/关联/诊断命令/案例缺失,绑定的案例文件已在磁盘缺失时返回错误,校验 存在( )失败 → 「绑定的测试案例文件已缺失」。,步骤1: 绑定要点与案例后删除案例 步骤2: 执行诊断命令。,【业务功能检查】 - 指出案例缺失 - 不进入匹配,中
合并测试阶段/绑定和关联/关联/诊断命令/无测试点,md 未解析出任何测试点时返回错误,返回空 → 提示检查表头格式。,步骤1: 编写无合规表格的 md 步骤2: 执行诊断命令。,【业务功能检查】 - 提示未解析出测试点及表头要求 - total=0、data={},中
合并测试阶段/绑定和关联/关联/诊断命令/输出规格,诊断输出包含 envelope 与 stats 两块 （-Linker 前缀）,成功时 「[ -Linker] ===== 最终出参（约定格式） =====」+，再输出「===== 统计 =====」+ stats。,步骤1: 绑定且案例存在、含匹配 步骤2: 执行诊断命令 步骤3: 查看 Output Channel。,【业务功能检查】 - 输出含 envelope 完整 （data 按 分组） - 含 stats （/orphan/stripped 等） - 前缀为 [ -Linker],高
合并测试阶段/绑定和关联/关联/诊断命令/xmind错误清单,xmind 结构错误时诊断输出列出问题节点清单,envelope. 非空 → 列出所有缺图标中间节点；达到硬上限(200)时提示可能折叠。,步骤1: 构造含缺图标节点的 xmind 并绑定 步骤2: 执行诊断命令。,【业务功能检查】 - Output 列出 xmind 结构错误节点路径 - 提示为节点标记图标或下移 - 同时仍 dump envelope,中
合并测试阶段/绑定和关联/关联/统计与异常/total计数,envelope.total 等于匹配命中记录数 matchedRecords,total = . ；透传 数据。,步骤1: 准备 N 条命中、M 条孤儿的案例文件 步骤2: 执行聚合。,【业务功能检查】 - = N - data 各 下条目数合计 = N,高
合并测试阶段/绑定和关联/关联/统计与异常/类型分布,stats.typeCount 正确反映 type1、type2、type3 分布,stats. = { ... }（type1/type2/type3）,步骤1: 构造含 type1/type2/type3 混合命中的案例 步骤2: 查看 stats。,【业务功能检查】 - 与匹配引擎统计一致 - 三者之和等于 total,中
合并测试阶段/绑定和关联/关联/统计与异常/孤儿与剥离,stats 含 totalOrphan 与 totalStripped,stats. = ；stats. =。,步骤1: 构造含孤儿记录与父点尾号剥离的用例 步骤2: 查看 stats。,【业务功能检查】 - 等于孤儿数 - 等于尾号剥离次数,中
合并测试阶段/绑定和关联/关联/统计与异常/空pointList,入参 pointList 为空时返回「未传入任何测试要点」,"入参校验：!Array/length=0 → { total:0, :""未传入任何测试要点"", data:{} }。",步骤1: 传空 步骤2: 调用聚合。,【业务功能检查】 - 返回 提示未传入测试要点 - 不进入匹配,中
合并测试阶段/绑定和关联/关联/统计与异常/空filePath,入参 filePath 为空或非字符串时返回「未传入测试案例文件」,入参校验：! /非 string → 「未传入测试案例文件」。,步骤1: 传空 步骤2: 调用聚合。,【业务功能检查】 - 返回对应 、total=0、data={},中
合并测试阶段/绑定和关联/关联/统计与异常/匹配异常,匹配过程抛错时 envelope 返回「匹配失败」错误,"抛错 → catch 返回 { total:0, :""匹配失败: <msg>"", data:{} }。",步骤1: 传入无法解析的损坏案例文件 步骤2: 调用聚合。,【业务功能检查】 - 以「匹配失败」开头并含原始错误 - 不向上抛未捕获异常,中
合并测试阶段/绑定和关联/关联/统计与异常/一对一查询,双向查询在 1:1 下返回唯一对端,的 取 [0]； 取 [0]；未绑定返回 null。,步骤1: 绑定 要点X ↔ 案例A 步骤2: 分别调用两查询 步骤3: 对未绑定文件调用。,【业务功能检查】 - 返回唯一绝对路径 - 未绑定时返回 null（而非空串）,中
